Action, games, score, coin, xp, level, staples, commons, specials
Dupe common, 2145, 19080, 820, 2017450, 118, 19, 25, 25
Dupe common, 2164, 19080, 775, 2035500, 119, 19, 25, 25
Bought special, 2184, 19080, 75, 2054500, 120, 19, 25, 26
Dupe special, 2210, 19080, 970, 2079200, 122, 19, 25, 26
Bought common, 2230, 19080, 120, 2098200, 122, 19, 26, 26
Dupe common, 2255, 19080, 795, 2121950, 124, 19, 26, 26
Dupe special, 2275, 19080, 845, 2140950, 125, 19, 26, 26
Bought special, 2295, 19080, 145, 2159950, 126, 19, 26, 27
Dupe common, 2320, 19080, 795, 2183700, 127, 19, 26, 27
Dupe special, 2340, 19080, 845, 2202700, 128, 19, 26, 27
Bought special, 2360, 19080, 145, 2221700, 129, 19, 26, 28
Dupe special, 2386, 19080, 765, 2246400, 130, 19, 26, 28
Dupe special, 2406, 19080, 815, 2265400, 131, 19, 26, 28
Dupe special, 2425, 19080, 770, 2283450, 132, 19, 26, 28
Dupe special, 2445, 19080, 820, 2302450, 133, 19, 26, 28
Bought common, 2464, 19080, 25, 2320500, 134, 19, 27, 28
Dupe special, 2490, 19080, 770, 2345200, 135, 19, 27, 28
Dupe special, 2510, 19080, 820, 2364200, 136, 19, 27, 28
Bought special, 2530, 19080, 120, 2383200, 137, 19, 27, 29
Dupe special, 2557, 19080, 835, 2408850, 138, 19, 27, 29
Dupe special, 2576, 19080, 790, 2426900, 139, 19, 27, 29
Dupe special, 2596, 19080, 840, 2445900, 140, 19, 27, 29
Dupe special, 2615, 19080, 795, 2463950, 141, 19, 27, 29
Bought special, 2635, 19080, 95, 2482950, 142, 19, 27, 30
Dupe special, 2661, 19080, 840, 2507650, 143, 19, 27, 30
Dupe common, 2680, 19080, 795, 2525700, 144, 19, 27, 30
Dupe common, 2700, 19080, 845, 2544700, 145, 19, 27, 30
Dupe special, 2720, 19080, 895, 2563700, 146, 19, 27, 30
Bought common, 2740, 19080, 195, 2582700, 147, 19, 28, 30
Dupe special, 2766, 19080, 815, 2607400, 148, 19, 28, 30
Bought common, 2785, 19080, 20, 2625450, 149, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought staple, 50, 15480, 33, 30330, 15, 6, 0, 0
Dupe staple, 60, 16200, 348, 38230, 16, 6, 0, 0
Bought staple, 67, 16920, 80, 44050, 17, 7, 0, 0
Bought staple, 73, 17640, 29, 49290, 19, 8, 0, 0
Bought staple, 81, 19080, 40, 56650, 20, 9, 0, 0
Bought staple, 90, 19080, 170, 65200, 21, 10, 0, 0
Bought staple, 99, 19080, 25, 73750, 21, 11, 0, 0
Bought special, 125, 19080, 20, 98450, 22, 11, 0, 1
Bought staple, 133, 19080, 55, 106050, 23, 12, 0, 1
Bought common, 160, 19080, 145, 131700, 24, 12, 1, 1
Dupe staple, 168, 19080, 305, 139300, 25, 12, 1, 1
Bought staple, 175, 19080, 95, 145950, 25, 13, 1, 1
Dupe staple, 184, 19080, 325, 154500, 25, 13, 1, 1
Dupe staple, 190, 19080, 420, 160200, 26, 13, 1, 1
Bought staple, 197, 19080, 85, 166850, 26, 14, 1, 1
Bought staple, 206, 19080, 65, 175400, 26, 15, 1, 1
Bought staple, 213, 19080, 5, 182050, 27, 16, 1, 1
Bought special, 240, 19080, 95, 207700, 28, 16, 1, 2
Dupe staple, 250, 19080, 420, 217200, 28, 16, 1, 2
Bought staple, 255, 19080, 45, 221950, 29, 17, 1, 2
Dupe staple, 264, 19080, 275, 230500, 29, 17, 1, 2
Bought common, 289, 19080, 50, 254250, 30, 17, 2, 2
Bought special, 315, 19080, 45, 278950, 31, 17, 2, 3
Bought common, 340, 19080, 95, 302700, 33, 17, 3, 3
Bought common, 367, 19080, 60, 328350, 34, 17, 4, 3
Dupe common, 393, 19080, 805, 353050, 35, 17, 4, 3
Bought staple, 396, 19080, 90, 355900, 35, 18, 4, 3
Dupe staple, 403, 19080, 280, 362550, 36, 18, 4, 3
Bought common, 428, 19080, 55, 386300, 37, 18, 5, 3
Dupe staple, 437, 19080, 285, 394850, 37, 18, 5, 3
Dupe staple, 442, 19080, 285, 399600, 38, 18, 5, 3
Bought special, 467, 19080, 60, 423350, 39, 18, 5, 4
Bought common, 493, 19080, 55, 448050, 40, 18, 6, 4
Bought common, 520, 19080, 145, 473700, 41, 18, 7, 4
