Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 2, 12600, 34, 1590, 5, 1, 0, 0
Bought staple, 8, 17400, 108, 6330, 9, 2, 0, 0
Bought staple, 13, 21000, 28, 11280, 11, 3, 0, 0
Bought staple, 20, 22200, 62, 18870, 12, 4, 0, 0
Bought staple, 26, 24600, 64, 25890, 14, 5, 0, 0
Bought staple, 32, 25800, 95, 33450, 15, 6, 0, 0
Bought common, 47, 30600, 109, 54840, 20, 6, 1, 0
Bought staple, 51, 31800, 20, 61200, 21, 7, 1, 0
Bought staple, 58, 31800, 133, 72330, 21, 8, 1, 0
Bought staple, 63, 31800, 203, 80280, 22, 9, 1, 0
Dupe staple, 69, 31800, 407, 89820, 22, 9, 1, 0
Bought staple, 72, 31800, 9, 94590, 22, 10, 1, 0
Bought staple, 78, 31800, 113, 104130, 23, 11, 1, 0
Bought common, 94, 31800, 57, 129570, 24, 11, 2, 0
Bought special, 110, 31800, 1, 155010, 25, 11, 2, 1
Bought common, 127, 31800, 129, 182040, 27, 11, 3, 1
Bought staple, 132, 31800, 49, 189990, 27, 12, 3, 1
Bought special, 149, 31800, 27, 217020, 28, 12, 3, 2
Bought special, 165, 31800, 121, 242460, 30, 12, 3, 3
Bought staple, 170, 31800, 41, 250410, 30, 13, 3, 3
Bought staple, 176, 31800, 145, 259950, 31, 14, 3, 3
Bought special, 192, 31800, 89, 285390, 32, 14, 3, 4
Bought common, 209, 31800, 67, 312420, 33, 14, 4, 4
Bought special, 225, 31800, 11, 337860, 34, 14, 4, 5
Bought special, 241, 31800, 105, 363300, 36, 14, 4, 6
Bought special, 258, 31800, 83, 390330, 37, 14, 4, 7
Bought common, 274, 31800, 27, 415770, 38, 14, 5, 7
Dupe staple, 280, 31800, 506, 425310, 39, 14, 5, 7
Dupe staple, 284, 31800, 392, 431670, 39, 14, 5, 7
Bought common, 299, 31800, 52, 455520, 40, 14, 6, 7
Bought staple, 304, 31800, 122, 463470, 41, 15, 6, 7
Bought staple, 310, 31800, 201, 473010, 41, 16, 6, 7
Bought common, 326, 31800, 20, 498450, 42, 16, 7, 7
Bought special, 342, 31800, 114, 523890, 44, 16, 7, 8
Bought special, 359, 31800, 92, 550920, 45, 16, 7, 9
Dupe staple, 364, 31800, 262, 558870, 45, 16, 7, 9
Bought special, 379, 31800, 72, 582720, 47, 16, 7, 10
Dupe common, 395, 31800, 766, 608160, 48, 16, 7, 10
Bought special, 408, 31800, 108, 628830, 49, 16, 7, 11
Bought common, 424, 31800, 52, 654270, 50, 16, 8, 11
Bought special, 440, 31800, 146, 679710, 52, 16, 8, 12
Bought common, 457, 31800, 124, 706740, 53, 16, 9, 12
Dupe special, 473, 31800, 818, 732180, 54, 16, 9, 12
Dupe staple, 475, 31800, 386, 735360, 54, 16, 9, 12
Bought staple, 478, 31800, 13, 740130, 55, 17, 9, 12
Dupe common, 495, 31800, 866, 767160, 56, 17, 9, 12
Bought special, 507, 31800, 49, 786240, 57, 17, 9, 13
Dupe staple, 513, 31800, 378, 795780, 57, 17, 9, 13
Bought special, 528, 31800, 188, 819630, 59, 17, 9, 14
Dupe staple, 533, 31800, 358, 827580, 59, 17, 9, 14
Bought special, 548, 31800, 18, 851430, 60, 17, 9, 15
Dupe staple, 553, 31800, 338, 859380, 61, 17, 9, 15
Bought common, 569, 31800, 157, 884820, 62, 17, 10, 15
Bought common, 585, 31800, 101, 910260, 63, 17, 11, 15
Bought staple, 590, 31800, 21, 918210, 63, 18, 11, 15
Dupe staple, 596, 31800, 375, 927750, 64, 18, 11, 15
Bought common, 610, 31800, 1, 950010, 65, 18, 12, 15
Dupe staple, 616, 31800, 355, 959550, 66, 18, 12, 15
Bought common, 631, 31800, 140, 983400, 67, 18, 13, 15
Dupe special, 648, 31800, 868, 1010430, 68, 18, 13, 15
Bought common, 660, 31800, 176, 1029510, 69, 18, 14, 15
Bought common, 677, 31800, 154, 1056540, 70, 18, 15, 15
Bought special, 692, 31800, 89, 1080390, 72, 18, 15, 16
Bought special, 709, 31800, 67, 1107420, 73, 18, 15, 17
Bought special, 725, 31800, 11, 1132860, 74, 18, 15, 18
Bought common, 742, 31800, 264, 1159890, 76, 18, 16, 18
Dupe staple, 747, 31800, 309, 1167840, 76, 18, 16, 18
Dupe special, 762, 31800, 844, 1191690, 77, 18, 16, 18
Bought special, 774, 31800, 27, 1210770, 78, 18, 16, 19
Dupe common, 791, 31800, 880, 1237800, 79, 18, 16, 19
Dupe common, 803, 31800, 813, 1256880, 80, 18, 16, 19
Bought common, 816, 31800, 155, 1277550, 81, 18, 17, 19
Bought special, 831, 31800, 90, 1301400, 83, 18, 17, 20
Dupe staple, 837, 31800, 294, 1310940, 83, 18, 17, 20
Dupe staple, 841, 31800, 305, 1317300, 83, 18, 17, 20
Dupe special, 856, 31800, 865, 1341150, 85, 18, 17, 20
