Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 3, 8400, 15, 1400, 5, 1, 0, 0
Bought staple, 11, 11600, 6, 5560, 8, 2, 0, 0
Bought staple, 20, 14000, 171, 11460, 11, 3, 0, 0
Bought staple, 30, 14800, 170, 18700, 12, 4, 0, 0
Bought staple, 37, 15600, 12, 24120, 14, 5, 0, 0
Bought staple, 46, 17200, 33, 31580, 15, 6, 0, 0
Bought special, 69, 20400, 49, 53240, 19, 6, 0, 1
Bought staple, 75, 21200, 106, 59560, 21, 7, 0, 1
Bought staple, 83, 21200, 79, 68040, 21, 8, 0, 1
Dupe staple, 91, 21200, 302, 76520, 21, 8, 0, 1
Bought special, 113, 21200, 184, 99840, 23, 8, 0, 2
Bought staple, 120, 21200, 51, 107260, 23, 9, 0, 2
Dupe staple, 129, 21200, 255, 116800, 23, 9, 0, 2
Bought staple, 134, 21200, 60, 122100, 24, 10, 0, 2
Bought staple, 142, 21200, 33, 130580, 24, 11, 0, 2
Bought staple, 150, 21200, 6, 139060, 24, 12, 0, 2
Bought staple, 158, 21200, 4, 147540, 25, 13, 0, 2
Dupe staple, 167, 21200, 333, 157080, 25, 13, 0, 2
Bought staple, 171, 21200, 32, 161320, 26, 14, 0, 2
Bought staple, 180, 21200, 111, 170860, 26, 15, 0, 2
Dupe staple, 188, 21200, 359, 179340, 27, 15, 0, 2
Bought staple, 193, 21200, 14, 184640, 27, 16, 0, 2
Bought staple, 202, 21200, 93, 194180, 27, 17, 0, 2
Bought special, 226, 21200, 187, 219620, 29, 17, 0, 3
Bought common, 249, 21200, 25, 244000, 30, 17, 1, 3
Bought staple, 258, 21200, 104, 253540, 30, 18, 1, 3
Bought common, 281, 21200, 67, 277920, 31, 18, 2, 3
Bought common, 304, 21200, 55, 302300, 33, 18, 3, 3
Bought special, 329, 21200, 105, 328800, 34, 18, 3, 4
Dupe staple, 337, 21200, 328, 337280, 34, 18, 3, 4
Bought special, 358, 21200, 104, 359540, 36, 18, 3, 5
Bought special, 381, 21200, 67, 383920, 37, 18, 3, 6
Bought common, 405, 21200, 11, 409360, 38, 18, 4, 6
