Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 2, 12600, 34, 1590, 5, 1, 0, 0
Bought staple, 8, 17400, 108, 6330, 9, 2, 0, 0
Bought staple, 13, 21000, 28, 11280, 11, 3, 0, 0
Bought staple, 20, 22200, 62, 18870, 12, 4, 0, 0
Bought staple, 26, 24600, 64, 25890, 14, 5, 0, 0
Bought staple, 32, 25800, 95, 33450, 15, 6, 0, 0
Bought common, 47, 30600, 109, 54840, 20, 6, 1, 0
Bought staple, 51, 31800, 20, 61200, 21, 7, 1, 0
Bought staple, 58, 31800, 133, 72330, 21, 8, 1, 0
Bought staple, 63, 31800, 203, 80280, 22, 9, 1, 0
Dupe staple, 69, 31800, 407, 89820, 22, 9, 1, 0
Bought staple, 72, 31800, 9, 94590, 22, 10, 1, 0
Bought staple, 78, 31800, 113, 104130, 23, 11, 1, 0
Bought common, 94, 31800, 57, 129570, 24, 11, 2, 0
Bought special, 110, 31800, 1, 155010, 25, 11, 2, 1
Dupe staple, 116, 31800, 355, 164550, 26, 11, 2, 1
Dupe staple, 120, 31800, 366, 170910, 26, 11, 2, 1
Dupe staple, 124, 31800, 252, 177270, 26, 11, 2, 1
Bought staple, 128, 31800, 38, 183630, 27, 12, 2, 1
Bought staple, 134, 31800, 117, 193170, 27, 13, 2, 1
Dupe staple, 139, 31800, 312, 201120, 28, 13, 2, 1
Dupe staple, 143, 31800, 323, 207480, 28, 13, 2, 1
Dupe staple, 148, 31800, 368, 215430, 28, 13, 2, 1
Bought common, 163, 31800, 303, 239280, 30, 13, 3, 1
Dupe staple, 168, 31800, 348, 247230, 30, 13, 3, 1
Bought staple, 172, 31800, 109, 253590, 30, 14, 3, 1
Bought staple, 177, 31800, 54, 261540, 31, 15, 3, 1
Bought staple, 183, 31800, 133, 271080, 31, 16, 3, 1
Bought special, 200, 31800, 236, 298110, 32, 16, 3, 2
Dupe staple, 204, 31800, 272, 304470, 33, 16, 3, 2
Bought special, 220, 31800, 216, 329910, 34, 16, 3, 3
Dupe staple, 225, 31800, 261, 337860, 34, 16, 3, 3
Bought special, 240, 31800, 196, 361710, 36, 16, 3, 4
Dupe staple, 246, 31800, 400, 371250, 36, 16, 3, 4
Bought special, 260, 31800, 26, 393510, 37, 16, 3, 5
Dupe staple, 266, 31800, 380, 403050, 38, 16, 3, 5
Bought common, 280, 31800, 6, 425310, 39, 16, 4, 5
Bought staple, 287, 31800, 119, 436440, 39, 17, 4, 5
Bought common, 302, 31800, 54, 460290, 41, 17, 5, 5
Bought special, 319, 31800, 32, 487320, 42, 17, 5, 6
Bought common, 336, 31800, 135, 514350, 43, 17, 6, 6
Bought special, 352, 31800, 229, 539790, 45, 17, 6, 7
Dupe staple, 357, 31800, 274, 547740, 45, 17, 6, 7
Dupe staple, 361, 31800, 285, 554100, 45, 17, 6, 7
Bought common, 377, 31800, 254, 579540, 47, 17, 7, 7
Bought common, 392, 31800, 39, 603390, 48, 17, 8, 7
Bought common, 409, 31800, 17, 630420, 49, 17, 9, 7
Dupe staple, 415, 31800, 496, 639960, 50, 17, 9, 7
Bought special, 430, 31800, 281, 663810, 51, 17, 9, 8
Dupe special, 446, 31800, 850, 689250, 52, 17, 9, 8
Dupe staple, 447, 31800, 259, 690840, 52, 17, 9, 8
Bought common, 462, 31800, 44, 714690, 53, 17, 10, 8
Bought common, 478, 31800, 13, 740130, 55, 17, 11, 8
Bought common, 495, 31800, 116, 767160, 56, 17, 12, 8
Dupe staple, 500, 31800, 286, 775110, 56, 17, 12, 8
Dupe special, 516, 31800, 1005, 800550, 58, 17, 12, 8
Bought staple, 517, 31800, 164, 802140, 58, 18, 12, 8
Bought special, 533, 31800, 108, 827580, 59, 18, 12, 9
Bought special, 550, 31800, 211, 854610, 60, 18, 12, 10
Bought common, 566, 31800, 180, 880050, 62, 18, 13, 10
Dupe common, 582, 31800, 874, 905490, 63, 18, 13, 10
Bought common, 594, 31800, 57, 924570, 64, 18, 14, 10
Dupe staple, 600, 31800, 386, 934110, 64, 18, 14, 10
Bought special, 615, 31800, 46, 957960, 65, 18, 14, 11
Dupe staple, 620, 31800, 366, 965910, 66, 18, 14, 11
Dupe special, 635, 31800, 776, 989760, 67, 18, 14, 11
Bought common, 648, 31800, 118, 1010430, 68, 18, 15, 11
Dupe staple, 653, 31800, 288, 1018380, 68, 18, 15, 11
Dupe special, 668, 31800, 848, 1042230, 70, 18, 15, 11
Bought staple, 669, 31800, 7, 1043820, 70, 19, 15, 11
Bought common, 686, 31800, 110, 1070850, 71, 19, 16, 11
Dupe special, 702, 31800, 804, 1096290, 72, 19, 16, 11
Bought special, 715, 31800, 146, 1116960, 73, 19, 16, 12
Bought special, 730, 31800, 81, 1140810, 75, 19, 16, 13
Bought common, 747, 31800, 59, 1167840, 76, 19, 17, 13
Bought special, 763, 31800, 3, 1193280, 77, 19, 17, 14
