Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 6, 5040, 29, 1540, 5, 1, 0, 0
Bought staple, 19, 6960, 5, 5550, 8, 2, 0, 0
Bought staple, 30, 8400, 124, 9740, 11, 3, 0, 0
Bought staple, 45, 8880, 37, 16120, 12, 4, 0, 0
Bought staple, 60, 9360, 113, 22880, 13, 5, 0, 0
Bought staple, 73, 9840, 166, 29160, 15, 6, 0, 0
Bought special, 110, 11760, 288, 49380, 19, 6, 0, 1
Bought staple, 120, 12720, 177, 55520, 20, 7, 0, 1
Bought staple, 130, 12720, 82, 61820, 21, 8, 0, 1
Bought staple, 143, 12720, 26, 70010, 21, 9, 0, 1
Bought staple, 157, 12720, 33, 78830, 21, 10, 0, 1
Bought staple, 168, 12720, 1, 85760, 22, 11, 0, 1
Bought special, 206, 12720, 45, 109700, 23, 11, 0, 2
Bought staple, 220, 12720, 177, 118520, 23, 12, 0, 2
Bought staple, 230, 12720, 82, 124820, 24, 13, 0, 2
Bought staple, 243, 12720, 26, 133010, 24, 14, 0, 2
Bought common, 280, 12720, 7, 156320, 25, 14, 1, 2
Dupe staple, 292, 12720, 288, 163880, 26, 14, 1, 2
Bought staple, 302, 12720, 43, 170180, 26, 15, 1, 2
Bought special, 340, 12720, 87, 194120, 27, 15, 1, 3
Dupe staple, 351, 12720, 305, 201050, 28, 15, 1, 3
Dupe staple, 361, 12720, 310, 207350, 28, 15, 1, 3
Bought common, 396, 12720, 40, 229400, 29, 15, 2, 3
Bought special, 433, 12720, 21, 252710, 30, 15, 2, 4
Bought special, 470, 12720, 2, 276020, 31, 15, 2, 5
Dupe staple, 482, 12720, 283, 283580, 32, 15, 2, 5
Dupe staple, 492, 12720, 288, 289880, 32, 15, 2, 5
Bought staple, 502, 12720, 43, 296180, 32, 16, 2, 5
Dupe common, 539, 12720, 799, 319490, 34, 16, 2, 5
Bought common, 568, 12720, 1, 337760, 34, 16, 3, 5
Dupe staple, 580, 12720, 407, 345320, 35, 16, 3, 5
Bought staple, 590, 12720, 162, 351620, 35, 17, 3, 5
Bought special, 627, 12720, 18, 374930, 36, 17, 3, 6
Bought special, 665, 12720, 62, 398870, 37, 17, 3, 7
Bought special, 700, 12720, 67, 420920, 39, 17, 3, 8
Bought staple, 713, 12720, 11, 429110, 39, 18, 3, 8
Bought special, 751, 12720, 55, 453050, 40, 18, 3, 9
Dupe staple, 762, 12720, 273, 459980, 41, 18, 3, 9
Bought common, 797, 12720, 3, 482030, 42, 18, 4, 9
Bought special, 835, 12720, 47, 505970, 43, 18, 4, 10
Dupe staple, 849, 12720, 304, 514790, 43, 18, 4, 10
Bought common, 882, 12720, 33, 535580, 44, 18, 5, 10
Bought special, 920, 12720, 227, 559520, 46, 18, 5, 11
Bought staple, 931, 12720, 45, 566450, 46, 19, 5, 11
Bought common, 970, 12720, 152, 591020, 47, 19, 6, 11
Bought special, 1007, 12720, 8, 614330, 48, 19, 6, 12
Bought common, 1045, 12720, 52, 638270, 49, 19, 7, 12
Bought common, 1080, 12720, 57, 660320, 51, 19, 8, 12
Bought common, 1119, 12720, 39, 684890, 52, 19, 9, 12
Bought common, 1156, 12720, 20, 708200, 53, 19, 10, 12
Bought common, 1193, 12720, 1, 731510, 54, 19, 11, 12
Bought special, 1231, 12720, 45, 755450, 55, 19, 11, 13
Dupe special, 1269, 12720, 864, 779390, 57, 19, 11, 13
Dupe special, 1297, 12720, 753, 797030, 57, 19, 11, 13
Dupe common, 1325, 12720, 792, 814670, 58, 19, 11, 13
Bought common, 1352, 12720, 18, 831680, 59, 19, 12, 13
Dupe special, 1390, 12720, 812, 855620, 60, 19, 12, 13
Bought common, 1419, 12720, 39, 873890, 61, 19, 13, 13
Bought special, 1456, 12720, 20, 897200, 62, 19, 13, 14
Bought special, 1491, 12720, 25, 919250, 64, 19, 13, 15
Dupe common, 1530, 12720, 882, 943820, 65, 19, 13, 15
Bought special, 1558, 12720, 46, 961460, 66, 19, 13, 16
Bought common, 1595, 12720, 27, 984770, 67, 19, 14, 16
Dupe common, 1632, 12720, 758, 1008080, 68, 19, 14, 16
Bought special, 1660, 12720, 47, 1025720, 69, 19, 14, 17
Bought special, 1699, 12720, 29, 1050290, 70, 19, 14, 18
Bought common, 1736, 12720, 10, 1073600, 71, 19, 15, 18
Bought common, 1774, 12720, 54, 1097540, 72, 19, 16, 18
Bought special, 1810, 12720, 122, 1120220, 74, 19, 16, 19
Bought common, 1848, 12720, 41, 1144160, 75, 19, 17, 19
Dupe special, 1885, 12720, 772, 1167470, 76, 19, 17, 19
Dupe special, 1913, 12720, 811, 1185110, 77, 19, 17, 19
Bought common, 1940, 12720, 37, 1202120, 78, 19, 18, 19
Bought special, 1979, 12720, 19, 1226690, 79, 19, 18, 20
Dupe common, 2017, 12720, 813, 1250630, 80, 19, 18, 20
Bought common, 2044, 12720, 39, 1267640, 81, 19, 19, 20
Bought common, 2081, 12720, 20, 1290950, 82, 19, 20, 20
Dupe special, 2120, 12720, 877, 1315520, 83, 19, 20, 20
Bought special, 2148, 12720, 41, 1333160, 84, 19, 20, 21
Dupe common, 2185, 12720, 772, 1356470, 85, 19, 20, 21
Bought special, 2213, 12720, 61, 1374110, 86, 19, 20, 22
Dupe special, 2250, 12720, 792, 1397420, 87, 19, 20, 22
