Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 3, 8400, 15, 1400, 5, 1, 0, 0
Bought staple, 11, 11600, 6, 5560, 8, 2, 0, 0
Bought staple, 20, 14000, 171, 11460, 11, 3, 0, 0
Bought staple, 30, 14800, 170, 18700, 12, 4, 0, 0
Bought staple, 37, 15600, 12, 24120, 14, 5, 0, 0
Bought staple, 46, 17200, 33, 31580, 15, 6, 0, 0
Bought special, 69, 20400, 49, 53240, 19, 6, 0, 1
Bought staple, 75, 21200, 106, 59560, 21, 7, 0, 1
Bought staple, 83, 21200, 79, 68040, 21, 8, 0, 1
Dupe staple, 91, 21200, 302, 76520, 21, 8, 0, 1
Bought special, 113, 21200, 184, 99840, 23, 8, 0, 2
Bought common, 136, 21200, 22, 124220, 24, 8, 1, 2
Bought staple, 145, 21200, 101, 133760, 24, 9, 1, 2
Bought staple, 151, 21200, 12, 140120, 25, 10, 1, 2
Dupe staple, 160, 21200, 341, 149660, 25, 10, 1, 2
Bought special, 182, 21200, 73, 172980, 26, 10, 1, 3
Bought special, 206, 21200, 17, 198420, 27, 10, 1, 4
Dupe staple, 213, 21200, 284, 205840, 28, 10, 1, 4
Bought special, 235, 21200, 16, 229160, 29, 10, 1, 5
Bought staple, 244, 21200, 95, 238700, 29, 11, 1, 5
Bought staple, 250, 21200, 6, 245060, 30, 12, 1, 5
Bought special, 275, 21200, 56, 271560, 31, 12, 1, 6
Bought staple, 283, 21200, 179, 280040, 32, 13, 1, 6
Bought special, 306, 21200, 17, 304420, 33, 13, 1, 7
Bought common, 330, 21200, 86, 329860, 34, 13, 2, 7
Bought staple, 339, 21200, 190, 339400, 35, 14, 2, 7
Bought common, 361, 21200, 47, 362720, 36, 14, 3, 7
Bought common, 386, 21200, 97, 389220, 37, 14, 4, 7
Bought staple, 394, 21200, 70, 397700, 37, 15, 4, 7
Bought staple, 401, 21200, 87, 405120, 38, 16, 4, 7
Bought common, 425, 21200, 31, 430560, 39, 16, 5, 7
Dupe special, 450, 21200, 956, 457060, 40, 16, 5, 7
Bought special, 467, 21200, 33, 475080, 41, 16, 5, 8
