Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought staple, 50, 15480, 33, 30330, 15, 6, 0, 0
Bought special, 76, 18360, 52, 52020, 19, 6, 0, 1
Bought staple, 84, 19080, 225, 59500, 21, 7, 0, 1
Bought staple, 91, 19080, 15, 66150, 21, 8, 0, 1
Bought staple, 101, 19080, 90, 75650, 21, 9, 0, 1
Bought common, 126, 19080, 15, 99400, 23, 9, 1, 1
Bought staple, 136, 19080, 90, 108900, 23, 10, 1, 1
Bought staple, 145, 19080, 70, 117450, 23, 11, 1, 1
Bought staple, 152, 19080, 10, 124100, 24, 12, 1, 1
Bought common, 180, 19080, 195, 150700, 25, 12, 2, 1
Bought special, 206, 19080, 65, 175400, 26, 12, 2, 2
Bought common, 231, 19080, 115, 199150, 28, 12, 3, 2
Bought special, 258, 19080, 80, 224800, 29, 12, 3, 3
Bought common, 284, 19080, 75, 249500, 30, 12, 4, 3
Bought special, 310, 19080, 70, 274200, 31, 12, 4, 4
Bought special, 337, 19080, 185, 299850, 33, 12, 4, 5
Bought staple, 345, 19080, 70, 307450, 33, 13, 4, 5
Bought staple, 354, 19080, 50, 316000, 33, 14, 4, 5
Dupe staple, 362, 19080, 335, 323600, 34, 14, 4, 5
Bought staple, 370, 19080, 220, 331200, 34, 15, 4, 5
Bought common, 396, 19080, 90, 355900, 35, 15, 5, 5
Bought special, 421, 19080, 140, 379650, 37, 15, 5, 6
Bought staple, 430, 19080, 120, 388200, 37, 16, 5, 6
Bought special, 457, 19080, 85, 413850, 38, 16, 5, 7
Dupe staple, 464, 19080, 275, 420500, 39, 16, 5, 7
Bought common, 489, 19080, 50, 444250, 40, 16, 6, 7
Dupe staple, 498, 19080, 280, 452800, 40, 16, 6, 7
Dupe common, 522, 19080, 835, 475600, 41, 16, 6, 7
Bought common, 541, 19080, 40, 493650, 42, 16, 7, 7
Dupe common, 568, 19080, 905, 519300, 44, 16, 7, 7
Bought common, 588, 19080, 55, 538300, 44, 16, 8, 7
Bought common, 612, 19080, 10, 561100, 46, 16, 9, 7
Bought special, 640, 19080, 195, 587700, 47, 16, 9, 8
Bought common, 666, 19080, 65, 612400, 48, 16, 10, 8
Dupe common, 692, 19080, 810, 637100, 49, 16, 10, 8
Bought staple, 695, 19080, 245, 639950, 50, 17, 10, 8
Dupe staple, 702, 19080, 285, 646600, 50, 17, 10, 8
Bought special, 727, 19080, 60, 670350, 51, 17, 10, 9
Bought special, 753, 19080, 55, 695050, 52, 17, 10, 10
Dupe staple, 761, 19080, 340, 702650, 53, 17, 10, 10
Bought common, 785, 19080, 20, 725450, 54, 17, 11, 10
Bought common, 811, 19080, 15, 750150, 55, 17, 12, 10
Dupe special, 839, 19080, 825, 776750, 56, 17, 12, 10
