Action, games, score, coin, xp, level, staples, commons, specials
Bought staple, 840, 19080, 45, 777700, 56, 18, 12, 10
Bought special, 866, 19080, 65, 802400, 58, 18, 12, 11
Dupe common, 892, 19080, 810, 827100, 59, 18, 12, 11
Bought special, 911, 19080, 15, 845150, 60, 18, 12, 12
Bought special, 939, 19080, 75, 871750, 61, 18, 12, 13
Bought common, 965, 19080, 70, 896450, 62, 18, 13, 13
Bought staple, 972, 19080, 10, 903100, 63, 19, 13, 13
Dupe common, 1000, 19080, 945, 929700, 64, 19, 13, 13
Bought special, 1019, 19080, 25, 947750, 65, 19, 13, 14
Dupe common, 1045, 19080, 770, 972450, 66, 19, 13, 14
Bought common, 1065, 19080, 70, 991450, 67, 19, 14, 14
Bought common, 1091, 19080, 65, 1016150, 68, 19, 15, 14
Bought common, 1117, 19080, 85, 1040850, 70, 19, 16, 14
Dupe common, 1143, 19080, 830, 1065550, 71, 19, 16, 14
Bought common, 1162, 19080, 35, 1083600, 72, 19, 17, 14
Bought common, 1190, 19080, 220, 1110200, 73, 19, 18, 14
Dupe special, 1216, 19080, 840, 1134900, 74, 19, 18, 14
Bought special, 1235, 19080, 45, 1152950, 75, 19, 18, 15
Bought special, 1261, 19080, 40, 1177650, 76, 19, 18, 16
Dupe common, 1287, 19080, 810, 1202350, 78, 19, 18, 16
Bought special, 1306, 19080, 15, 1220400, 79, 19, 18, 17
Dupe special, 1332, 19080, 760, 1245100, 80, 19, 18, 17
Bought special, 1352, 19080, 60, 1264100, 81, 19, 18, 18
Bought common, 1379, 19080, 25, 1289750, 82, 19, 19, 18
Dupe common, 1405, 19080, 770, 1314450, 83, 19, 19, 18
Dupe common, 1425, 19080, 820, 1333450, 84, 19, 19, 18
Bought common, 1444, 19080, 25, 1351500, 85, 19, 20, 18
Bought special, 1470, 19080, 20, 1376200, 86, 19, 20, 19
Dupe special, 1496, 19080, 790, 1400900, 88, 19, 20, 19
Dupe special, 1516, 19080, 840, 1419900, 89, 19, 20, 19
Bought special, 1537, 19080, 235, 1439850, 90, 19, 20, 20
Bought common, 1561, 19080, 40, 1462650, 91, 19, 21, 20
Dupe common, 1588, 19080, 755, 1488300, 92, 19, 21, 20
Bought special, 1608, 19080, 55, 1507300, 93, 19, 21, 21
Bought common, 1634, 19080, 50, 1532000, 94, 19, 22, 21
Bought special, 1660, 19080, 45, 1556700, 95, 19, 22, 22
Dupe common, 1686, 19080, 815, 1581400, 97, 19, 22, 22
Bought special, 1705, 19080, 20, 1599450, 98, 19, 22, 23
Dupe common, 1731, 19080, 765, 1624150, 99, 19, 22, 23
Bought common, 1751, 19080, 65, 1643150, 100, 19, 23, 23
Dupe special, 1778, 19080, 780, 1668800, 101, 19, 23, 23
Dupe common, 1798, 19080, 830, 1687800, 102, 19, 23, 23
Dupe special, 1817, 19080, 785, 1705850, 103, 19, 23, 23
Bought common, 1837, 19080, 85, 1724850, 104, 19, 24, 23
Bought common, 1863, 19080, 80, 1749550, 105, 19, 25, 23
Dupe special, 1890, 19080, 920, 1775200, 106, 19, 25, 23
Dupe common, 1910, 19080, 970, 1794200, 107, 19, 25, 23
Bought special, 1929, 19080, 50, 1812250, 108, 19, 25, 24
Dupe special, 1955, 19080, 795, 1836950, 109, 19, 25, 24
Bought special, 1975, 19080, 95, 1855950, 110, 19, 25, 25
Dupe common, 2000, 19080, 895, 1879700, 112, 19, 25, 25
Bought special, 2020, 19080, 45, 1898700, 112, 19, 25, 26
Dupe special, 2046, 19080, 815, 1923400, 114, 19, 25, 26
Dupe special, 2065, 19080, 770, 1941450, 115, 19, 25, 26
Bought special, 2085, 19080, 70, 1960450, 116, 19, 25, 27
Dupe common, 2111, 19080, 815, 1985150, 117, 19, 25, 27
Bought common, 2130, 19080, 20, 2003200, 118, 19, 26, 27
Dupe special, 2158, 19080, 830, 2029800, 119, 19, 26, 27
Dupe common, 2177, 19080, 785, 2047850, 120, 19, 26, 27
Dupe common, 2197, 19080, 835, 2066850, 121, 19, 26, 27
Bought common, 2216, 19080, 40, 2084900, 122, 19, 27, 27
Dupe common, 2242, 19080, 785, 2109600, 123, 19, 27, 27
Dupe common, 2262, 19080, 835, 2128600, 124, 19, 27, 27
Dupe common, 2281, 19080, 790, 2146650, 125, 19, 27, 27
Dupe special, 2301, 19080, 840, 2165650, 126, 19, 27, 27
Bought common, 2320, 19080, 45, 2183700, 127, 19, 28, 27
Dupe special, 2347, 19080, 760, 2209350, 128, 19, 28, 27
Bought special, 2367, 19080, 60, 2228350, 129, 19, 28, 28
Dupe special, 2393, 19080, 805, 2253050, 130, 19, 28, 28
Dupe common, 2412, 19080, 760, 2271100, 131, 19, 28, 28
Dupe special, 2432, 19080, 810, 2290100, 132, 19, 28, 28
Bought common, 2451, 19080, 15, 2308150, 133, 19, 29, 28
Dupe common, 2479, 19080, 825, 2334750, 134, 19, 29, 28
Dupe common, 2498, 19080, 780, 2352800, 135, 19, 29, 28
Dupe common, 2518, 19080, 830, 2371800, 136, 19, 29, 28
Dupe common, 2537, 19080, 785, 2389850, 137, 19, 29, 28
Bought special, 2557, 19080, 85, 2408850, 138, 19, 29, 29
Dupe common, 2583, 19080, 830, 2433550, 139, 19, 29, 29
Dupe common, 2602, 19080, 785, 2451600, 140, 19, 29, 29
Dupe special, 2622, 19080, 835, 2470600, 141, 19, 29, 29
Dupe special, 2641, 19080, 790, 2488650, 142, 19, 29, 29
Bought special, 2661, 19080, 90, 2507650, 143, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought special, 68, 16920, 64, 44890, 18, 5, 0, 1
Bought staple, 76, 18360, 52, 52020, 19, 6, 0, 1
Bought staple, 84, 19080, 225, 59500, 21, 7, 0, 1
Bought special, 110, 19080, 220, 84200, 22, 7, 0, 2
Bought special, 136, 19080, 90, 108900, 23, 7, 0, 3
Bought special, 162, 19080, 85, 133600, 24, 7, 0, 4
Bought staple, 170, 19080, 120, 141200, 25, 8, 0, 4
Bought staple, 180, 19080, 195, 150700, 25, 9, 0, 4
Bought staple, 189, 19080, 200, 159250, 26, 10, 0, 4
Bought common, 213, 19080, 5, 182050, 27, 10, 1, 4
Dupe staple, 223, 19080, 330, 191550, 27, 10, 1, 4
Bought staple, 230, 19080, 120, 198200, 27, 11, 1, 4
Dupe staple, 238, 19080, 280, 205800, 28, 11, 1, 4
Bought staple, 245, 19080, 70, 212450, 28, 12, 1, 4
Bought common, 271, 19080, 65, 237150, 29, 12, 2, 4
Bought common, 297, 19080, 85, 261850, 31, 12, 3, 4
Bought staple, 306, 19080, 65, 270400, 31, 13, 3, 4
Bought special, 332, 19080, 60, 295100, 32, 13, 3, 5
Bought special, 358, 19080, 80, 319800, 34, 13, 3, 6
Bought special, 384, 19080, 75, 344500, 35, 13, 3, 7
Bought common, 410, 19080, 70, 369200, 36, 13, 4, 7
Bought common, 437, 19080, 35, 394850, 37, 13, 5, 7
Bought common, 463, 19080, 180, 419550, 39, 13, 6, 7
Dupe staple, 471, 19080, 315, 427150, 39, 13, 6, 7
Bought common, 496, 19080, 90, 450900, 40, 13, 7, 7
Bought staple, 505, 19080, 220, 459450, 41, 14, 7, 7
Bought common, 530, 19080, 120, 483200, 42, 14, 8, 7
Bought common, 557, 19080, 85, 508850, 43, 14, 9, 7
Bought staple, 566, 19080, 65, 517400, 43, 15, 9, 7
Bought common, 590, 19080, 20, 540200, 45, 15, 10, 7
Bought special, 618, 19080, 80, 566800, 46, 15, 10, 8
Dupe special, 644, 19080, 825, 591500, 47, 15, 10, 8
Dupe common, 663, 19080, 780, 609550, 48, 15, 10, 8
Dupe special, 683, 19080, 830, 628550, 49, 15, 10, 8
Bought common, 702, 19080, 35, 646600, 50, 15, 11, 8
Bought special, 730, 19080, 220, 673200, 51, 15, 11, 9
Bought common, 756, 19080, 90, 697900, 52, 15, 12, 9
Dupe staple, 763, 19080, 280, 704550, 53, 15, 12, 9
Dupe special, 788, 19080, 805, 728300, 54, 15, 12, 9
Bought common, 807, 19080, 10, 746350, 55, 15, 13, 9
Bought common, 833, 19080, 5, 771050, 56, 15, 14, 9
Bought common, 860, 19080, 95, 796700, 57, 15, 15, 9
Dupe staple, 868, 19080, 255, 804300, 58, 15, 15, 9
Bought staple, 875, 19080, 45, 810950, 58, 16, 15, 9
Bought special, 901, 19080, 40, 835650, 59, 16, 15, 10
Dupe staple, 910, 19080, 420, 844200, 60, 16, 15, 10
Bought special, 933, 19080, 5, 866050, 61, 16, 15, 11
Bought common, 960, 19080, 95, 891700, 62, 16, 16, 11
Dupe common, 987, 19080, 810, 917350, 63, 16, 16, 11
Bought common, 1006, 19080, 15, 935400, 64, 16, 17, 11
Bought common, 1031, 19080, 65, 959150, 66, 16, 18, 11
Bought common, 1058, 19080, 30, 984800, 67, 16, 19, 11
Bought special, 1084, 19080, 25, 1009500, 68, 16, 19, 12
Dupe staple, 1093, 19080, 255, 1018050, 68, 16, 19, 12
Bought special, 1117, 19080, 85, 1040850, 70, 16, 19, 13
Bought staple, 1126, 19080, 65, 1049400, 70, 17, 19, 13
Dupe staple, 1135, 19080, 295, 1057950, 70, 17, 19, 13
Dupe special, 1158, 19080, 780, 1079800, 72, 17, 19, 13
Bought staple, 1160, 19080, 95, 1081700, 72, 18, 19, 13
Bought special, 1187, 19080, 60, 1107350, 73, 18, 19, 14
Bought special, 1213, 19080, 55, 1132050, 74, 18, 19, 15
Bought special, 1240, 19080, 145, 1157700, 75, 18, 19, 16
Bought staple, 1248, 19080, 55, 1165300, 76, 19, 19, 16
Bought special, 1274, 19080, 50, 1190000, 77, 19, 19, 17
Bought special, 1300, 19080, 45, 1214700, 78, 19, 19, 18
Bought special, 1326, 19080, 65, 1239400, 80, 19, 19, 19
Bought special, 1352, 19080, 60, 1264100, 81, 19, 19, 20
Bought common, 1379, 19080, 25, 1289750, 82, 19, 20, 20
Dupe common, 1405, 19080, 770, 1314450, 83, 19, 20, 20
Dupe special, 1425, 19080, 820, 1333450, 84, 19, 20, 20
Bought special, 1444, 19080, 25, 1351500, 85, 19, 20, 21
Bought special, 1470, 19080, 20, 1376200, 86, 19, 20, 22
Bought common, 1496, 19080, 40, 1400900, 88, 19, 21, 22
Bought special, 1522, 19080, 35, 1425600, 89, 19, 21, 23
Dupe special, 1550, 19080, 970, 1452200, 90, 19, 21, 23
Bought common, 1569, 19080, 50, 1470250, 91, 19, 22, 23
Dupe common, 1595, 19080, 795, 1494950, 92, 19, 22, 23
Dupe special, 1615, 19080, 845, 1513950, 93, 19, 22, 23
Bought special, 1634, 19080, 50, 1532000, 94, 19, 22, 24
Dupe special, 1660, 19080, 795, 1556700, 95, 19, 22, 24
Dupe special, 1680, 19080, 845, 1575700, 96, 19, 22, 24
Dupe special, 1700, 19080, 895, 1594700, 97, 19, 22, 24
Bought common, 1720, 19080, 195, 1613700, 98, 19, 23, 24
Bought common, 1746, 19080, 65, 1638400, 99, 19, 24, 24
Dupe common, 1770, 19080, 770, 1661200, 101, 19, 24, 24
Dupe special, 1790, 19080, 820, 1680200, 102, 19, 24, 24
Bought special, 1810, 19080, 120, 1699200, 103, 19, 24, 25
Dupe special, 1837, 19080, 835, 1724850, 104, 19, 24, 25
Bought special, 1856, 19080, 40, 1742900, 105, 19, 24, 26
Bought special, 1882, 19080, 35, 1767600, 106, 19, 24, 27
Dupe special, 1910, 19080, 970, 1794200, 107, 19, 24, 27
Bought common, 1929, 19080, 50, 1812250, 108, 19, 25, 27
Dupe common, 1955, 19080, 795, 1836950, 109, 19, 25, 27
Dupe common, 1975, 19080, 845, 1855950, 110, 19, 25, 27
Dupe common, 1994, 19080, 800, 1874000, 111, 19, 25, 27
Bought common, 2013, 19080, 5, 1892050, 112, 19, 26, 27
Dupe special, 2040, 19080, 845, 1917700, 113, 19, 26, 27
Dupe common, 2060, 19080, 895, 1936700, 114, 19, 26, 27
Dupe common, 2080, 19080, 945, 1955700, 115, 19, 26, 27
Dupe special, 2099, 19080, 775, 1973750, 116, 19, 26, 27
Bought common, 2119, 19080, 75, 1992750, 117, 19, 27, 27
Bought special, 2145, 19080, 70, 2017450, 118, 19, 27, 28
Dupe special, 2170, 19080, 870, 2041200, 120, 19, 27, 28
Bought common, 2190, 19080, 170, 2060200, 121, 19, 28, 28
Bought special, 2216, 19080, 40, 2084900, 122, 19, 28, 29
Dupe common, 2242, 19080, 785, 2109600, 123, 19, 28, 29
Dupe special, 2262, 19080, 835, 2128600, 124, 19, 28, 29
Dupe special, 2281, 19080, 790, 2146650, 125, 19, 28, 29
Dupe special, 2301, 19080, 840, 2165650, 126, 19, 28, 29
Dupe special, 2320, 19080, 795, 2183700, 127, 19, 28, 29
Dupe common, 2340, 19080, 845, 2202700, 128, 19, 28, 29
Dupe special, 2360, 19080, 895, 2221700, 129, 19, 28, 29
Bought special, 2380, 19080, 195, 2240700, 130, 19, 28, 30
Bought common, 2406, 19080, 65, 2265400, 131, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought common, 50, 15480, 33, 30330, 15, 3, 1, 0
Bought staple, 60, 16200, 98, 38230, 16, 4, 1, 0
Bought staple, 68, 16920, 64, 44890, 18, 5, 1, 0
Bought special, 91, 19080, 15, 66150, 21, 5, 1, 1
Bought staple, 101, 19080, 90, 75650, 21, 6, 1, 1
Bought staple, 110, 19080, 220, 84200, 22, 7, 1, 1
Bought staple, 119, 19080, 75, 92750, 22, 8, 1, 1
Bought staple, 126, 19080, 15, 99400, 23, 9, 1, 1
Dupe staple, 136, 19080, 340, 108900, 23, 9, 1, 1
Bought staple, 142, 19080, 35, 114600, 23, 10, 1, 1
Bought staple, 150, 19080, 70, 122200, 24, 11, 1, 1
Dupe staple, 160, 19080, 395, 131700, 24, 11, 1, 1
Bought common, 184, 19080, 75, 154500, 25, 11, 2, 1
Bought special, 210, 19080, 220, 179200, 27, 11, 2, 2
Dupe staple, 219, 19080, 325, 187750, 27, 11, 2, 2
Dupe staple, 225, 19080, 270, 193450, 27, 11, 2, 2
Bought special, 250, 19080, 170, 217200, 28, 11, 2, 3
Bought staple, 258, 19080, 80, 224800, 29, 12, 2, 3
Bought common, 284, 19080, 75, 249500, 30, 12, 3, 3
Dupe staple, 293, 19080, 305, 258050, 30, 12, 3, 3
Bought staple, 299, 19080, 25, 263750, 31, 13, 3, 3
Bought special, 325, 19080, 20, 288450, 32, 13, 3, 4
Bought staple, 335, 19080, 95, 297950, 32, 14, 3, 4
Dupe special, 360, 19080, 895, 321700, 34, 14, 3, 4
Bought common, 380, 19080, 195, 340700, 35, 14, 4, 4
Bought staple, 389, 19080, 50, 349250, 35, 15, 4, 4
Bought common, 415, 19080, 45, 373950, 36, 15, 5, 4
Bought special, 441, 19080, 40, 398650, 37, 15, 5, 5
Bought common, 467, 19080, 60, 423350, 39, 15, 6, 5
Bought staple, 476, 19080, 40, 431900, 39, 16, 6, 5
Bought common, 502, 19080, 35, 456600, 40, 16, 7, 5
Dupe common, 528, 19080, 805, 481300, 42, 16, 7, 5
Bought common, 547, 19080, 10, 499350, 43, 16, 8, 5
Bought common, 573, 19080, 5, 524050, 44, 16, 9, 5
Dupe staple, 583, 19080, 330, 533550, 44, 16, 9, 5
Dupe staple, 589, 19080, 300, 539250, 45, 16, 9, 5
Bought special, 612, 19080, 10, 561100, 46, 16, 9, 6
Dupe staple, 622, 19080, 335, 570600, 46, 16, 9, 6
Bought common, 646, 19080, 15, 593400, 47, 16, 10, 6
Dupe staple, 654, 19080, 300, 601000, 48, 16, 10, 6
Bought common, 679, 19080, 75, 624750, 49, 16, 11, 6
Dupe staple, 688, 19080, 305, 633300, 49, 16, 11, 6
Dupe common, 711, 19080, 765, 655150, 50, 16, 11, 6
Dupe staple, 714, 19080, 300, 658000, 50, 16, 11, 6
Bought special, 737, 19080, 35, 679850, 52, 16, 11, 7
Bought special, 763, 19080, 30, 704550, 53, 16, 11, 8
Bought special, 790, 19080, 120, 730200, 54, 16, 11, 9
Bought special, 817, 19080, 85, 755850, 55, 16, 11, 10
Dupe common, 842, 19080, 885, 779600, 57, 16, 11, 10
Bought special, 862, 19080, 35, 798600, 57, 16, 11, 11
Bought staple, 870, 19080, 70, 806200, 58, 17, 11, 11
Bought common, 897, 19080, 35, 831850, 59, 17, 12, 11
Bought common, 923, 19080, 30, 856550, 60, 17, 13, 11
Dupe staple, 931, 19080, 315, 864150, 61, 17, 13, 11
Bought special, 956, 19080, 90, 887900, 62, 17, 13, 12
Dupe common, 982, 19080, 835, 912600, 63, 17, 13, 12
Bought staple, 984, 19080, 25, 914500, 63, 18, 13, 12
Dupe staple, 992, 19080, 310, 922100, 64, 18, 13, 12
Bought common, 1017, 19080, 85, 945850, 65, 18, 14, 12
Dupe special, 1043, 19080, 830, 970550, 66, 18, 14, 12
Dupe common, 1062, 19080, 785, 988600, 67, 18, 14, 12
Bought common, 1082, 19080, 85, 1007600, 68, 18, 15, 12
Dupe staple, 1091, 19080, 315, 1016150, 68, 18, 15, 12
Bought common, 1116, 19080, 240, 1039900, 70, 18, 16, 12
Bought special, 1140, 19080, 45, 1062700, 71, 18, 16, 13
Bought common, 1167, 19080, 10, 1088350, 72, 18, 17, 13
Bought common, 1193, 19080, 5, 1113050, 73, 18, 18, 13
Bought special, 1220, 19080, 95, 1138700, 74, 18, 18, 14
Dupe staple, 1228, 19080, 255, 1146300, 75, 18, 18, 14
Dupe common, 1252, 19080, 810, 1169100, 76, 18, 18, 14
Bought common, 1271, 19080, 15, 1187150, 77, 18, 19, 14
Dupe special, 1299, 19080, 825, 1213750, 78, 18, 19, 14
Bought special, 1318, 19080, 30, 1231800, 79, 18, 19, 15
Dupe special, 1344, 19080, 775, 1256500, 80, 18, 19, 15
Bought special, 1364, 19080, 75, 1275500, 81, 18, 19, 16
Dupe common, 1390, 19080, 970, 1300200, 83, 18, 19, 16
Bought special, 1410, 19080, 270, 1319200, 84, 18, 19, 17
Dupe special, 1435, 19080, 795, 1342950, 85, 18, 19, 17
Dupe special, 1455, 19080, 845, 1361950, 86, 18, 19, 17
Bought special, 1474, 19080, 50, 1380000, 87, 18, 19, 18
Bought common, 1500, 19080, 45, 1404700, 88, 18, 20, 18
Bought special, 1527, 19080, 10, 1430350, 89, 18, 20, 19
Dupe special, 1553, 19080, 755, 1455050, 90, 18, 20, 19
Bought common, 1573, 19080, 55, 1474050, 91, 18, 21, 19
Dupe common, 1600, 19080, 1045, 1499700, 93, 18, 21, 19
Bought special, 1620, 19080, 195, 1518700, 93, 18, 21, 20
Dupe common, 1644, 19080, 775, 1541500, 95, 18, 21, 20
Bought common, 1664, 19080, 75, 1560500, 96, 18, 22, 20
Bought special, 1690, 19080, 70, 1585200, 97, 18, 22, 21
Dupe staple, 1700, 19080, 395, 1594700, 97, 18, 22, 21
Bought special, 1724, 19080, 75, 1617500, 98, 18, 22, 22
Bought common, 1750, 19080, 220, 1642200, 100, 18, 23, 22
Bought special, 1776, 19080, 90, 1666900, 101, 18, 23, 23
Dupe special, 1802, 19080, 835, 1691600, 102, 18, 23, 23
Dupe common, 1821, 19080, 790, 1709650, 103, 18, 23, 23
Dupe special, 1841, 19080, 840, 1728650, 104, 18, 23, 23
Bought special, 1860, 19080, 45, 1746700, 105, 18, 23, 24
Dupe staple, 1870, 19080, 370, 1756200, 105, 18, 23, 24
Bought special, 1894, 19080, 50, 1779000, 106, 18, 23, 25
Dupe special, 1920, 19080, 945, 1803700, 108, 18, 23, 25
Bought common, 1939, 19080, 25, 1821750, 109, 18, 24, 25
Dupe staple, 1948, 19080, 255, 1830300, 109, 18, 24, 25
Dupe common, 1972, 19080, 810, 1853100, 110, 18, 24, 25
Bought common, 1991, 19080, 15, 1871150, 111, 18, 25, 25
Dupe common, 2019, 19080, 825, 1897750, 112, 18, 25, 25
Dupe special, 2038, 19080, 780, 1915800, 113, 18, 25, 25
Bought common, 2058, 19080, 80, 1934800, 114, 18, 26, 25
Dupe special, 2084, 19080, 975, 1959500, 116, 18, 26, 25
Dupe special, 2103, 19080, 780, 1977550, 116, 18, 26, 25
Dupe staple, 2105, 19080, 370, 1979450, 117, 18, 26, 25
Bought special, 2129, 19080, 50, 2002250, 118, 18, 26, 26
Bought common, 2155, 19080, 45, 2026950, 119, 18, 27, 26
Dupe common, 2181, 19080, 790, 2051650, 120, 18, 27, 26
Dupe common, 2201, 19080, 840, 2070650, 121, 18, 27, 26
Bought staple, 2203, 19080, 30, 2072550, 121, 19, 27, 26
Dupe special, 2230, 19080, 870, 2098200, 122, 19, 27, 26
Dupe special, 2250, 19080, 920, 2117200, 123, 19, 27, 26
Dupe special, 2270, 19080, 970, 2136200, 124, 19, 27, 26
Dupe common, 2289, 19080, 800, 2154250, 125, 19, 27, 26
Bought special, 2308, 19080, 5, 2172300, 126, 19, 27, 27
Dupe special, 2335, 19080, 845, 2197950, 127, 19, 27, 27
Dupe common, 2354, 19080, 800, 2216000, 128, 19, 27, 27
Dupe special, 2373, 19080, 755, 2234050, 129, 19, 27, 27
Bought special, 2393, 19080, 55, 2253050, 130, 19, 27, 28
Dupe special, 2420, 19080, 895, 2278700, 131, 19, 27, 28
Dupe special, 2440, 19080, 945, 2297700, 132, 19, 27, 28
Bought special, 2459, 19080, 25, 2315750, 133, 19, 27, 29
Dupe special, 2484, 19080, 825, 2339500, 135, 19, 27, 29
Dupe special, 2505, 19080, 970, 2359450, 136, 19, 27, 29
Dupe common, 2524, 19080, 775, 2377500, 136, 19, 27, 29
Dupe common, 2544, 19080, 825, 2396500, 137, 19, 27, 29
Dupe special, 2563, 19080, 780, 2414550, 138, 19, 27, 29
Dupe special, 2583, 19080, 830, 2433550, 139, 19, 27, 29
Dupe common, 2602, 19080, 785, 2451600, 140, 19, 27, 29
Dupe common, 2622, 19080, 835, 2470600, 141, 19, 27, 29
Bought common, 2641, 19080, 40, 2488650, 142, 19, 28, 29
Dupe special, 2668, 19080, 755, 2514300, 143, 19, 28, 29
Dupe special, 2688, 19080, 805, 2533300, 144, 19, 28, 29
Dupe common, 2707, 19080, 760, 2551350, 145, 19, 28, 29
Dupe special, 2727, 19080, 810, 2570350, 146, 19, 28, 29
Dupe common, 2746, 19080, 765, 2588400, 147, 19, 28, 29
Dupe common, 2766, 19080, 815, 2607400, 148, 19, 28, 29
Bought special, 2785, 19080, 20, 2625450, 149, 19, 28, 30
Dupe special, 2811, 19080, 765, 2650150, 150, 19, 28, 30
Dupe common, 2831, 19080, 815, 2669150, 151, 19, 28, 30
Dupe common, 2850, 19080, 770, 2687200, 152, 19, 28, 30
Dupe special, 2870, 19080, 820, 2706200, 153, 19, 28, 30
Dupe special, 2890, 19080, 870, 2725200, 154, 19, 28, 30
Bought common, 2910, 19080, 170, 2744200, 155, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought special, 60, 16200, 98, 38230, 16, 4, 0, 1
Bought common, 84, 19080, 225, 59500, 21, 4, 1, 1
Bought common, 110, 19080, 220, 84200, 22, 4, 2, 1
Bought staple, 119, 19080, 75, 92750, 22, 5, 2, 1
Bought staple, 126, 19080, 15, 99400, 23, 6, 2, 1
Bought special, 152, 19080, 10, 124100, 24, 6, 2, 2
Bought common, 180, 19080, 195, 150700, 25, 6, 3, 2
Bought special, 206, 19080, 65, 175400, 26, 6, 3, 3
Bought common, 231, 19080, 115, 199150, 28, 6, 4, 3
Dupe staple, 240, 19080, 345, 207700, 28, 6, 4, 3
Bought common, 264, 19080, 25, 230500, 29, 6, 5, 3
Dupe staple, 273, 19080, 255, 239050, 29, 6, 5, 3
Bought special, 297, 19080, 85, 261850, 31, 6, 5, 4
Bought staple, 306, 19080, 65, 270400, 31, 7, 5, 4
Bought staple, 315, 19080, 45, 278950, 31, 8, 5, 4
Bought staple, 323, 19080, 80, 286550, 32, 9, 5, 4
Bought common, 350, 19080, 170, 312200, 33, 9, 6, 4
Dupe common, 376, 19080, 790, 336900, 34, 9, 6, 4
Dupe staple, 379, 19080, 475, 339750, 35, 9, 6, 4
Bought special, 401, 19080, 90, 360650, 36, 9, 6, 5
Dupe staple, 410, 19080, 320, 369200, 36, 9, 6, 5
